	tconst	titleType	primaryTitle	startYear	runtimeMinutes	genres	averageRating	numVotes
151123	tt1059950	movie	One Piece: The Giant Mechanical Soldier of Karakuri Castle	2006	94	Action,Animation,Comedy	6.5	1511
151124	tt1059955	movie	The Pixar Story	2007	88	Documentary	7.7	6843
151128	tt1059969	movie	Spud	2010	103	Comedy,Drama	6.6	2778
151131	tt1059980	movie	Soccer Mom	2008	92	Comedy,Family,Sport	5.0	1231
151132	tt10600398	movie	We Can Be Heroes	2020	100	Action,Comedy,Drama	4.7	15873
151135	tt10601552	movie	Slapface	2021	85	Horror,Thriller	5.1	1742
151151	tt1060249	movie	The Legend of Drona	2008	138	Action,Adventure,Fantasy	2.0	2661
151154	tt1060255	movie	The Horseman	2008	96	Crime,Thriller	6.5	5195
151155	tt1060256	movie	Ichi	2008	120	Action,Crime,Drama	6.5	3885
151165	tt1060277	movie	Cloverfield	2008	85	Action,Adventure,Horror	7.0	407681
151177	tt10605812	movie	The Girl Who Killed Her Parents	2021	85	Crime,Drama,Thriller	5.9	3373
151192	tt10608668	movie	Vikruthi	2019	123	Comedy,Drama	7.4	1645
151199	tt10611372	movie	My Mom is a Character 3	2019	111	Comedy	7.1	2530
151208	tt10612922	movie	One Night in Miami...	2020	114	Drama	7.1	33050
151222	tt10613992	movie	Games People Play	2020	117	Comedy,Drama	7.0	1586
151237	tt10618286	movie	Mank	2020	131	Biography,Comedy,Drama	6.8	78073
151252	tt10620868	movie	#Alive	2020	98	Action,Drama,Horror	6.3	43075
151254	tt10621032	movie	Lupin III: The First	2019	93	Action,Adventure,Animation	6.9	3385
151265	tt10622410	movie	Dreamy Eyes	2019	117	Drama,Romance	6.9	1019
151268	tt10622790	movie	Cousins	2019	83	Comedy,Drama,Romance	6.3	1844
151272	tt10622972	movie	Jhimma	2021	130	Comedy,Drama	7.6	2529
151277	tt10623524	movie	Chal Mera Putt	2019	124	Comedy,Drama	7.6	2924
151292	tt10627352	movie	Delete History	2020	110	Comedy,Drama	5.7	1873
151294	tt10627548	movie	Christmas on the Square	2020	98	Comedy,Family,Musical	5.2	2894
151295	tt10627584	movie	The Life Ahead	2020	94	Drama	6.8	14832
151298	tt10627720	movie	Ne Zha	2019	110	Action,Adventure,Animation	7.4	8010
151305	tt10628092	movie	Contra	2020	108	Comedy	6.8	2180
151323	tt1063056	movie	From Within	2008	89	Horror,Mystery,Thriller	5.6	7841
151329	tt1063111	movie	Small Town Saturday Night	2010	94	Drama	5.3	1279
151335	tt10632744	movie	I Am Alone, So Are You...	2019	117	Romance	4.8	1109
151338	tt10633454	movie	Into the Void	2019	84	Mystery	4.0	1152
151339	tt10633456	movie	Minari	2020	115	Drama	7.4	86433
151347	tt10635042	movie	Sailor Moon Eternal	2021	160	Action,Adventure,Animation	6.9	1400
151360	tt1063669	movie	The Wave	2008	107	Drama,Thriller	7.6	111604
151389	tt10640346	movie	Babylon	2022	189	Comedy,Drama,History	7.2	112817
151404	tt10642834	movie	The Forty-Year-Old Version	2020	123	Comedy,Drama	7.2	5293
151413	tt10643926	movie	The Storied Life of A.J. Fikry	2022	105	Comedy,Drama	6.6	1353
151415	tt10644282	movie	Shylock	2020	130	Action,Drama,Thriller	5.1	2542
151421	tt10644708	movie	Dhokha	2022	122	Crime,Drama,Thriller	6.2	11617
151429	tt10645682	movie	The Jack in the Box	2019	87	Horror	4.2	2271
151433	tt1064744	movie	Dying Breed	2008	92	Horror,Thriller	5.3	6216
151439	tt10648198	movie	Tell Me When	2020	95	Comedy	5.7	1098
151442	tt10648342	movie	Thor: Love and Thunder	2022	118	Action,Adventure,Comedy	6.2	359010
151443	tt10648440	movie	Exit	2019	103	Action,Comedy	7.0	6790
151449	tt10648714	movie	Chernobyl: Abyss	2021	136	Drama,History	5.1	9809
151453	tt10649016	movie	Safety	2020	122	Biography,Drama,Sport	6.8	4353
151458	tt1064931	movie	The White Angel	2007	115	Drama	6.4	7211
151459	tt1064932	movie	Welcome to the Sticks	2008	106	Comedy,Romance	7.1	43456
151464	tt1064953	movie	The Guard Post	2008	121	Horror,Mystery,Thriller	5.8	1834
151483	tt1065073	movie	Boyhood	2014	165	Drama	7.9	359510
151489	tt1065106	movie	Pigs	2007	85	Comedy,Romance	4.5	3496
151517	tt1065318	movie	Worlds Apart	2008	116	Drama	7.0	3361
151520	tt1065329	movie	Natale in crociera	2007	105	Comedy	4.0	1173
151523	tt1065332	movie	Let it Rain	2008	110	Comedy,Drama	6.1	1867
151538	tt10656188	movie	The Queen of Black Magic	2019	99	Drama,Horror,Mystery	6.5	2712
151574	tt10661180	movie	The Last Shift	2020	90	Comedy,Drama	5.7	3813
151581	tt10661710	movie	Born a Champion	2021	112	Action,Drama,Sport	6.8	4272
151582	tt10661848	movie	Jagame Thandhiram	2021	158	Action,Crime,Drama	5.8	12113
151587	tt10662234	movie	Into the Beat	2020	102	Drama,Music,Romance	5.3	1460
151593	tt10662450	movie	Enter the Anime	2019	58	Documentary	2.6	1748
151626	tt10665338	movie	Halloween Kills	2021	105	Horror,Thriller	5.5	90142
151627	tt10665342	movie	Halloween Ends	2022	111	Horror,Thriller	5.0	59679
151648	tt10670442	movie	Leap	2020	135	Biography,Drama,Sport	6.6	1332
151660	tt1067086	movie	Sweet Rain: Accuracy of Death	2008	113	Comedy,Drama,Fantasy	6.9	1229
151664	tt1067106	movie	A Christmas Carol	2009	96	Adventure,Animation,Comedy	6.8	122032
151670	tt10671436	movie	Barot House	2019	89	Mystery,Thriller	7.2	1484
151687	tt10674930	movie	Abominable	2020	72	Horror	2.7	1071
151689	tt10675136	movie	Hell House LLC III: Lake of Fire	2019	85	Horror,Mystery	5.2	3275
151692	tt10675724	movie	The Swarm	2020	101	Drama,Horror	5.3	7419
151693	tt1067583	movie	Water for Elephants	2011	122	Drama,Romance	6.9	118200
151696	tt10675966	movie	Nenu Lenu	2019	118	Drama	5.5	2268
151697	tt10676012	movie	To All the Boys: Always and Forever	2021	109	Comedy,Drama,Romance	6.3	28782
151711	tt1067733	movie	Patrik, Age 1.5	2008	103	Comedy,Drama,Romance	6.9	10160
151713	tt1067765	movie	Adult World	2013	97	Comedy,Drama	6.1	18258
151714	tt1067773	movie	Game of Assassins	2013	80	Action,Adventure,Horror	5.0	2876
151715	tt1067774	movie	Monte Carlo	2011	109	Adventure,Comedy,Family	5.8	46362
151720	tt1067920	movie	Detective Conan: The Last Wizard of the Century	1999	99	Adventure,Animation,Crime	7.5	2647
151749	tt10682266	movie	Hubie Halloween	2020	103	Comedy,Mystery	5.2	53487
151755	tt1068242	movie	Footloose	2011	113	Comedy,Drama,Music	5.8	51428
151779	tt1068641	movie	The Burning Plain	2008	107	Crime,Drama,Romance	6.8	20656
151782	tt1068646	movie	The Class	2008	128	Drama	7.5	35878
151785	tt1068649	movie	I've Loved You So Long	2008	117	Drama	7.6	20488
151794	tt1068664	movie	The Third Day	2007	99	Action,Drama,Romance	6.2	1324
151796	tt1068669	movie	Telstar: The Joe Meek Story	2008	119	Biography,Drama,Music	6.4	1841
151801	tt1068678	movie	Veronika Decides to Die	2009	103	Drama,Romance	6.3	12900
151803	tt1068680	movie	Yes Man	2008	104	Comedy,Romance	6.8	370446
